Museum,SpecimenPfx,SpecimenNumber,SpecimenSfx,RecordNumber,FieldNumber,YearFound,StudyArea,Locality,CollectingArea,AreaModifier,Formation,Member,Level,StratigraphicUnit,Excavation,SqrNmbr,Class,Order,Family,FamilyCode,Subfamily,TribeCode,Tribe,GenusCode,GenusQualifier,Genus,SpeciesQualifier,Species,BodyElement,Side,BodyElementCode,PartDescription,PublicationAuthor,YearPublished,YearPublishedSfx
KNM,ER,1225,B,2,71-450,1971,East Turkana,,,,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,1,,Equus,indet.,,UM,Rt.,12,fragment,V. Eisenmann,1983,
KNM,ER,1226,A,1,71-451,1971,East Turkana,Ileret,8,,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,1,,Equus,indet.,,UP3 or UP4,Lt.,7,complete,V. Eisenmann,1983,
KNM,ER,1226,B,2,71-451,1971,East Turkana,Ileret,8,,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,1,,Equus,indet.,,LM3,Lt.,15,complete,V. Eisenmann,1983,
KNM,ER,1226,C,3,71-451,1971,East Turkana,Ileret,8,,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,1,,Equus,indet.,,LP3 or LP4,Lt.,7,fragment,V. Eisenmann,1983,
KNM,ER,1226,D-L,4,71-451,1971,East Turkana,Ileret,8,,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,1,,Equus,indet.,,UM or UP,U,0,upper cheek tooth fragments,V. Eisenmann,1983,
KNM,ER,1227,,,71-452,1971,East Turkana,Ileret,1,,Koobi Fora,Okote,,,,,Mammalia,Perissodactyla,Equidae,61,,,,1,,Equus,cf.,grevyi,UP3 or UP4,Rt.,7,fragment,V. Eisenmann,1983,
KNM,ER,1228,,,71-453,1971,East Turkana,Ileret,3,,Koobi Fora,Okote,,,,,Mammalia,Perissodactyla,Equidae,61,,,,1,,Equus,indet.,,UM1 or UM2,Lt.,12,nearly complete,V. Eisenmann,1983,
KNM,ER,1229,,,71-454,1971,East Turkana,Ileret,8,A,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,1,,Equus,indet.,,UM1 or UM2,Rt.,12,nearly complete,V. Eisenmann,1983,
KNM,ER,1230,,,71-455,1971,East Turkana,Karari Ridge,105,,Koobi Fora,Burgi,Upper,,,,Mammalia,Perissodactyla,Equidae,61,,,,2,,Hipparion,cf.,ethiopicum,Maxilla,,29,fragment with P4-M1,V. Eisenmann,1983,
KNM,ER,1230,,,71-455,1971,East Turkana,Karari Ridge,105,,Koobi Fora,Burgi,Upper,,,,Mammalia,Perissodactyla,Equidae,61,,,,2,,Hipparion,cf.,ethiopicum,Maxilla,Rt.,29,fragment with P4-M1 complete,V. Eisenmann,1983,
KNM,ER,1231,,,71-456,1971,East Turkana,Ileret,8,A,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,2,,Hipparion,,sp. B,UM1 or UM2,Rt.,12,complete,V. Eisenmann,1983,
KNM,ER,1232,,,71-457,1971,East Turkana,Ileret,8,A,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,2,,Hipparion,cf.,ethiopicum,UM3,Lt.,26,complete,V. Eisenmann,1983,
KNM,ER,1234,,,71-459,1971,East Turkana,Ileret,6,,Koobi Fora,Unknown,,,,,Mammalia,Perissodactyla,Equidae,61,,,,2,,Hipparion,cf.,ethiopicum,LP3 or LP4,Lt.,7,nearly complete,V. Eisenmann,1983,
KNM,ER,1235,,,71-460,1971,East Turkana,Ileret,8,A,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,2,,Hipparion,cf.,ethiopicum,Metatarsal III,U,48,distal fragment with shaft,V. Eisenmann,1983,
KNM,ER,1236,,,71-461,1971,East Turkana,Koobi Fora Ridge,104,,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,2,,Hipparion,cf.,ethiopicum,LM1 or LM2,Rt.,12,complete,V. Eisenmann,1983,
KNM,ER,1237,,,71-462,1971,East Turkana,Ileret,6,A,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,1,,Equus,cf.,tabeti,Proximal Phalanx - I,U,41,complete,V. Eisenmann,1983,
KNM,ER,1238,,,71-463,1971,East Turkana,Ileret,6,A,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,2,,Hipparion,cf.,ethiopicum,Tibia,Lt.,45,distal fragment with shaft,V. Eisenmann,1983,
